Place;FirstName;LastName;Car Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Track;Place,FirstName,LastName,Class,Car Number,Car,Car Model,Laps,Best S1,Best S2,Best S3,Best lap,Best lap (ms),Ideal Best lap,Total Race Time,Lap Date,SteamId
0.0;;Dr Flexi Jerkov;Silver;16.0;Ginetta G55 GT4;56.0;3.0;40.36;41.6;31.792;01:53.910;113910.0;01:53.752;05:41.730;2025-04-30;M2533274805889819;Hungaroring;
0.0;;bmatthew717;Unknown;42.0;Ginetta G55 GT4;56.0;1.0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647.0;107374:10.941;35791:23.647;2025-04-30;M2535456990131789;Hungaroring;
0.0;;ogsl;Unknown;15.0;Ginetta G55 GT4;56.0;0.0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647.0;107374:10.941;;2025-04-30;M2533274798740952;Hungaroring;
0.0;;Deaddropc#9825;Unknown;355.0;Ginetta G55 GT4;56.0;0.0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647.0;107374:10.941;;2025-04-30;M2535408498331170;Hungaroring;
0.0;Ben;Jones;Pro;80.0;BMW M4 GT3 2022;26.0;35.0;21.715;32.655;47.375;01:41.992;101992.0;01:41.745;59:29.720;2025-07-06;M2562092466593675;Imola;
0.0;Nick;Efdee;Pro;23.0;Ferrari 296 GT3;32.0;35.0;21.753;32.694;47.46;01:42.144;102144.0;01:41.907;59:35.040;2025-07-06;M2533274876472342;Imola;
0.0;Benjamin;Matthew;Unknown;42.0;Ferrari 296 GT3;32.0;35.0;21.786;32.493;47.418;01:41.913;101913.0;01:41.697;59:26.955;2025-07-06;M2535456990131789;Imola;
0.0;Andrew;Mcvittie;Pro;116.0;Aston Martin Vantage V8 2019;20.0;35.0;21.697;32.58;47.59;01:41.885;101885.0;01:41.867;59:25.975;2025-07-06;M2533274896948119;Imola;
0.0;;zoli234#5551;Unknown;25.0;McLaren 720S GT3 Evo;35.0;35.0;21.93;32.527;47.317;01:42.125;102125.0;01:41.774;59:34.375;2025-07-06;M2535441603635242;Imola;
0.0;Roy;Briggs;Pro;52.0;Ferrari 296 GT3;32.0;35.0;21.843;32.922;48.018;01:43.146;103146.0;01:42.783;60:10.110;2025-07-06;M2533274963284096;Imola;
0.0;Graham;Kennedy;Pro;11.0;McLaren 720S GT3 Evo;35.0;35.0;22.06;32.885;48.087;01:43.180;103180.0;01:43.032;60:11.300;2025-07-06;M2533274817811996;Imola;
0.0;Mark;Stapely;Silver;142.0;McLaren 720S GT3 Evo;35.0;35.0;22.207;32.872;47.93;01:43.445;103445.0;01:43.009;60:20.575;2025-07-06;M2533274804293173;Imola;
0.0;Dustin;Hatcher;Am/reserve;777.0;Ferrari 296 GT3;32.0;35.0;22.065;32.643;47.883;01:42.780;102780.0;01:42.591;59:57.300;2025-07-06;M2533274853814129;Imola;
0.0;Richard;Huxley;Am/reserve;89.0;Ferrari 296 GT3;32.0;35.0;22.08;32.913;48.18;01:43.335;103335.0;01:43.173;60:16.725;2025-07-06;M2535454029768367;Imola;
0.0;John;Guise;Pro;10.0;Mercedes AMG GT3 2020;25.0;35.0;22.065;32.991;47.979;01:43.428;103428.0;01:43.035;60:19.980;2025-07-06;M2533274803882798;Imola;
0.0;Rey;Sabio Jr;Silver;144.0;Ferrari 296 GT3;32.0;35.0;22.242;33.18;48.375;01:44.031;104031.0;01:43.797;60:41.085;2025-07-06;M2535464171877570;Imola;
0.0;Manuel;Verzi;Unknown;6.0;BMW M6 GT3;7.0;35.0;21.921;32.982;47.7;01:42.693;102693.0;01:42.603;59:54.255;2025-07-06;M2535415068381608;Imola;
0.0;Adam;Lovell;Am/reserve;260.0;Ford Mustang GT3;36.0;35.0;22.014;33.321;48.225;01:44.058;104058.0;01:43.560;60:42.030;2025-07-06;M2535468859834853;Imola;
0.0;Sean;Briggs;Pro;88.0;Mercedes AMG GT3 2020;25.0;34.0;22.12;32.862;47.882;01:43.137;103137.0;01:42.864;58:26.658;2025-07-06;M2535426324983035;Imola;
0.0;James;Roche;Am/reserve;87.0;Aston Martin Vantage V8 2019;20.0;33.0;22.194;33.582;48.792;01:45.084;105084.0;01:44.568;57:47.772;2025-07-06;M2535428335198107;Imola;
0.0;jason;Macdonald;Silver;40.0;BMW M4 GT3 2022;26.0;24.0;22.035;33.19;48.045;01:43.427;103427.0;01:43.270;41:22.248;2025-07-06;M2533274809536861;Imola;
0.0;Toby;Cirel;Am/reserve;33.0;BMW M4 GT3 2022;26.0;0.0;2147483.647;2147483.647;2147483.647;35791:23.647;2147483647.0;107374:10.941;;2025-07-06;M2535459005860319;Imola;
